QuestionId,QuestionText,MC_Answer,StudentExplanation,Category
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),because sally had two thirds then robert ate one third of it,False_Neither
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),because 2/3 was the amount of cake at the start and hen he eats one third of it,False_Neither
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],Not enough information,it divides into 360 and awnser is 2.5 so i suppose not enough info?,False_Neither
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],\( 6 \),i was wrong and the answer is a,False_Neither
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],Not enough information,because you need to find the exterior angle.,False_Neither
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],\( 5 \),it seems to make the most sense.,False_Neither
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],\( 5 \),because all angles are equal.,False_Neither
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( 3 \),i think its 3 but not sure. i was a bit confused with this in class,False_Neither
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),it is going up in minus,False_Neither
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),apart from 3 which is smaller it is the only minus.,False_Neither
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),"if you add to something, it goes down in negatives, and take away goes up.",False_Neither
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),"Because when you solve it, that is the answer.",False_Neither
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 22 \),Because it goes in 3 and adds two.,False_Neither
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 22 \),it is adding 4 and the shape is changing,False_Neither
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 22 \),you add an extra dot at the bottom and don’t fill in the last two dots .,False_Neither
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 20 \),i a: very unsure as all these answers are wrong,False_Neither
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 20 \),"i know because the last pattern would have 6 rows and when i counted the dits inside, it said 6",False_Neither
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 192 \) hours,I'm not sure howw to do this and I don't know how you do it.,False_Neither
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 64 \) hours,12 x 64 divuded by 4 is,False_Neither
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 64 \) hours,they have 9 people more so you divide,False_Neither
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 64 \) hours,as it cone to around 600 dicided by 5 gets you closest to that,False_Neither
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 768 \) hours,64 times 1 is 768 times 7 then you times by 12 which is 12 times 64.,False_Neither
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Unlikely,"there is just a 1 in 10,000 chancee of this happening.",False_Neither
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Unlikely,since it is over 0 while the chances are unlikely but can hsppen rarely.,False_Neither
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Unlikely,because there’s 9 other numbers that you could get,False_Neither
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Certain,I have no clue how to explain this another time,False_Neither
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Unlikely,"1.0 is certainty, so if it is likely thatt must be a large number.",False_Neither
