QuestionId,QuestionText,MC_Answer,StudentExplanation,Category,my thoughts,my categorization
32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{2}{15} \),5 turned into 5 / 1 then i multiplied bothh together.,False_Neither,Cross multipled when they should not have,
32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{10}{15} \),"when you divide the number on the bottom by 5, it will be five times larger than the numbers on top.",False_Neither,multplied the numerator and denominator by 5 instead of just the numerator,
32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{10}{15} \),im not too sure so i went with 5 times 2,False_Neither,multplied the numerator and denominator by 5 instead of just the numerator,
32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{2}{15} \),i don’t know how to explane,False_Neither,multiplied just the denominator by 5 instead of the numerator,
32833,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \),reason why i think it is because if you have five times it by five so 23 would be it would be  5/13suppose you’re busy just times in it right number,False_Neither,conceptual error in 5*5 being 23,
32835,Which number is the greatest?,\( 6.079 \),"i think thus is 6.07 because if you look at the outhrs it's 6.0001 that is the lowest. Also, 6 by itself and 6.2 are also very small",False_Neither,"Conceptual error - hundredths are not larger than tenths. though 7 is a greater number than 2, 7 hundreths is smaller than 2 tenths",
32835,Which number is the greatest?,\( 6.079 \),because the 100ths and the 10ths are larger,False_Neither,Conceptual error - hundredths are not larger than tenths,
32835,Which number is the greatest?,\( 6.079 \),"I think c because if you look at the 100ths it is 9. And when you go to see the 10th's, it'll be 7.",False_Neither,Conceptual error - hundredths are not larger than tenths,
32835,Which number is the greatest?,\( 6.0001 \),i think d because it has more thousandths than any of the other numbers.,False_Neither,Conceptual error - hundredths and thousandths are not larger than tenths. seeing more numbers after the decimal does not always mean it's greater,
32835,Which number is the greatest?,\( 6 \),because it is bigger then all the decimal numbers,False_Neither,conceptual error - 6.000 is the smallest,
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),because theres only 3/8 and itss almost half,False_Neither,procedural error in trying to identify the number of yellow balls. true in stating that 3/8 of 24 is 9. should have either done 24-9 to find the number of green balls or done 5/8 times 24,
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),divide my the bottom and times by the top,False_Neither,procedural error in trying to identify the number of yellow balls. true in stating that 3/8 of 24 is 9. should have either done 24-9 to find the number of green balls or done 5/8 times 24,
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),"I don't know how to explainn that,",False_Neither,procedural error in trying to identify the number of yellow balls. true in stating that 3/8 of 24 is 9. should have either done 24-9 to find the number of green balls or done 5/8 times 24,
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 9 \),i think this because you divide by the bottom and times by the top,False_Neither,procedural error in trying to identify the number of yellow balls. true in stating that 3/8 of 24 is 9. should have either done 24-9 to find the number of green balls or done 5/8 times 24,
33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 3 \),i think because i use the bar method and that what i got and i divided 24 by 8,False_Neither,"conceptual error - true in staing that 24 divided by 8 is 3, but also should have kept going to multiply by the numerator (3) to get the number of yellow balls, then subtract that from 24 to find number of green balls",
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{8} \),I dont know because it is I guess I do mot know.,False_Neither,n/a explanation,
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \),i know think this because you need to change the denominators are different so you change the denominators to 15 and you do 2x3=6 and 1x5=5 and then they are your numaratores,False_Neither,conceptual error - added the denominators together instead of leaving them as 15! super valid explanation though for the numerators,
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{8} \),add 1 and the 2 first then do the rest.,False_Neither,"conceptual error - cannot add straight across numerators because the denominators are different, and you should not add straight across the denominators",
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{15} \),i think this because you have to multiply the denominator and add the nominator to add fractions.,False_Neither,conceptual error - did not update the numerators to reflect the new denominator of 15,
33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{15} \),because you find the common denominator,False_Neither,conceptual error - did not update the numerators to reflect the new denominator of 15,
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),i did 2 - 1 because i don’t need to find a common denominator because the denominators are the same,False_Neither,"true they are the same denominator, but not appropriate operation or super applicable",Wrong_Operation
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{1}{3}+\frac{2}{3} \),i think this because two thirds is double one third,False_Neither,"true statement, but not appropriate operation or super applicable in this",Wrong_Operation
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),i think this because if you did the sum you got the answer,False_Neither,n/a explanation,
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),because sally had two thirds then robert ate one third of it,False_Neither,n/a explanation,
33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),because 2/3 was the amount of cake at the start and hen he eats one third of it,False_Neither,conceptual error - one third of the two thirds is what was eaten ,
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],Not enough information,it divides into 360 and awnser is 2.5 so i suppose not enough info?,False_Neither,"360 / 144 is 2.5, thought then the shape ws 2.5 sided?",
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],\( 6 \),i was wrong and the answer is a,False_Neither,n/a explanation,
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],Not enough information,because you need to find the exterior angle.,False_Neither,not necessarily,
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],\( 5 \),it seems to make the most sense.,False_Neither,n/a explanation,
76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],\( 5 \),because all angles are equal.,False_Neither,true all the interior angles are the same because it's a regular polygon,
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( 3 \),i think its 3 but not sure. i was a bit confused with this in class,False_Neither,n/a explanation,
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),it is going up in minus,False_Neither,"""going up in minus"" could mean a few things - becoming more negative, going up the number line from left to right?",
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),apart from 3 which is smaller it is the only minus.,False_Neither,"i think they recognized that subtraction results in getting smaller, but not that it was getting less negative",
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),"if you add to something, it goes down in negatives, and take away goes up.",False_Neither,this would be the case if it were -8 + -5 (getting more negative). conceptual error - getting less negative (minus negative),
89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),"Because when you solve it, that is the answer.",False_Neither,n/a explanation,
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 22 \),Because it goes in 3 and adds two.,False_Neither,actually correct the answer is 22,
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 22 \),it is adding 4 and the shape is changing,False_Neither,actually correct the answer is 22,
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 22 \),you add an extra dot at the bottom and don’t fill in the last two dots .,False_Neither,actually correct the answer is 22,
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 20 \),i a: very unsure as all these answers are wrong,False_Neither,n/a explanation,
91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 20 \),"i know because the last pattern would have 6 rows and when i counted the dits inside, it said 6",False_Neither,n/a explanation,
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 192 \) hours,I'm not sure howw to do this and I don't know how you do it.,False_Neither,n/a explanation,
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 64 \) hours,12 x 64 divuded by 4 is,False_Neither,,
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 64 \) hours,they have 9 people more so you divide,False_Neither,"recognized that more people means dividing the work amongst more people, so each person does less work",
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 64 \) hours,as it cone to around 600 dicided by 5 gets you closest to that,False_Neither,n/a explanation,
104665,"It takes \( 3 \) people a total of \( 192 \) hours to build a wall.

How long would it take if \( 12 \) people built the same wall?",\( 768 \) hours,64 times 1 is 768 times 7 then you times by 12 which is 12 times 64.,False_Neither,found an equivalent fraction?,
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Unlikely,"there is just a 1 in 10,000 chancee of this happening.",False_Neither,interpreting it as 0.9% as opposed to it actually being 90%,
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Unlikely,since it is over 0 while the chances are unlikely but can hsppen rarely.,False_Neither,interpreting it as 0.9% as opposed to it actually being 90%,
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Unlikely,because there’s 9 other numbers that you could get,False_Neither,n/a explanation,
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Certain,I have no clue how to explain this another time,False_Neither,n/a explanation,
109465,"The probability of an event occurring is \( 0.9 \).

Which of the following most accurately describes the likelihood of the event occurring?",Unlikely,"1.0 is certainty, so if it is likely thatt must be a large number.",False_Neither,true in 1.0 being certain. did not account for 0.9 being super close to 1.0,
